coll_date,w_name,w_type,common_name,sex,f_length,t_length,weight,maturity,age,hg,year
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Unknown,333.0,,0.424,Unknown,,0.022,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,382.0,,0.618,Unknown,,0.044,2014
2014-09-17,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Male,336.0,,0.392,Unknown,,0.037,2014
2014-09-22,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Male,430.0,,0.974,Unknown,,0.068,2014
2014-09-22,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,445.0,,0.972,Unknown,,0.078,2014
2014-09-22,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Male,424.0,,1.135,Unknown,,0.109,2014
2014-09-22,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Male,339.0,,0.442,Unknown,,0.05,2014
2014-09-22,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Male,407.0,,0.95,Unknown,,0.052,2014
2014-09-22,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,375.0,,0.686,Unknown,,0.097,2014
2014-09-22,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,351.0,,0.486,Unknown,,0.063,2014
2014-09-22,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,445.0,,1.035,Unknown,,0.077,2014
2014-09-22,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Male,410.0,,0.974,Unknown,,0.058,2014
2014-09-22,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,371.0,,0.7,Unknown,,0.055,2014
2014-09-22,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Male,345.0,,0.496,Unknown,,0.06,2014
2014-09-22,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,421.0,,0.85,Unknown,,0.087,2014
2014-09-22,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,428.0,,0.96,Unknown,,0.118,2014
2014-09-22,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,398.0,,0.878,Unknown,,0.094,2014
2014-09-22,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Male,405.0,,0.798,Unknown,,0.062,2014
2014-09-22,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Male,349.0,,0.456,Unknown,,0.066,2014
2014-09-22,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Male,360.0,,0.628,Unknown,,0.076,2014
2014-09-22,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,395.0,,0.768,Unknown,,0.092,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,365.0,,0.524,Mature,,0.052,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,432.0,,1.03,Unknown,,0.029,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,320.0,,0.402,Unknown,,0.024,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Male,403.0,,0.98,Unknown,,0.069,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Male,356.0,,0.502,Unknown,,0.019,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,341.0,,0.462,Unknown,,0.099,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,322.0,,0.38,Unknown,,0.024,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Male,371.0,,0.614,Unknown,,0.023,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Unknown,381.0,,0.636,Unknown,,0.053,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,349.0,,0.524,Unknown,,0.024,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Male,330.0,,0.4,Unknown,,0.03,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,395.0,,0.752,Unknown,,0.021,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,364.0,,0.666,Unknown,,0.063,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,313.0,,0.386,Unknown,,0.026,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,335.0,,0.42,Unknown,,0.037,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,424.0,,0.878,Unknown,,0.072,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,415.0,,0.816,Unknown,,0.026,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,362.0,,0.502,Unknown,,0.026,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,441.0,,1.14,Mature,,0.043,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,414.0,,0.812,Unknown,,0.033,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Male,316.0,,0.354,Unknown,,0.023,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,404.0,,0.73,Unknown,,0.026,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Male,333.0,,0.402,Unknown,,0.035,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,380.0,,0.752,Unknown,,0.062,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Male,350.0,,0.424,Unknown,,0.046,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,416.0,,0.894,Unknown,,0.078,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,361.0,,0.506,Unknown,,0.046,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,326.0,,0.458,Unknown,,0.047,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,373.0,,0.568,Unknown,,0.022,2014
2014-09-24,Athabasca River (between Hinton and Whitecourt),River,Mountain Whitefish,Female,425.0,,0.84,Unknown,,0.027,2014
2014-09-05,Athabasca River (between Hinton and Whitecourt),River,Walleye,Male,386.0,,0.656,Mature,,0.3,2014
2014-09-05,Athabasca River (between Hinton and Whitecourt),River,Walleye,Female,430.0,,0.908,Mature,,0.326,2014
2014-09-05,Athabasca River (between Hinton and Whitecourt),River,Walleye,Male,365.0,,0.612,Mature,,0.315,2014
2014-09-05,Athabasca River (between Hinton and Whitecourt),River,Walleye,Female,446.0,,0.964,Mature,,,2014
2014-09-05,Athabasca River (between Hinton and Whitecourt),River,Walleye,Female,461.0,,1.16,Mature,,0.37,2014
2012-08-10,Baptiste Lake,Lake,Lake Whitefish,Unknown,,270.0,0.25,Unknown,,0.12,2012
2012-08-10,Baptiste Lake,Lake,Lake Whitefish,Unknown,,450.0,0.972,Unknown,,0.228,2012
